234648438873436878996408102307592276973452323055234901016752567006844914129155500715784662116672239797643609707193333805729444784683127396212610068400396910366208490413730357127204173948399489561907667296833017221121751273365535424151211512202873464989575371340762707978048123778633745739830755837758364259632015508564890417730871819512926249504552363984171373126502538755805997092161633585998693421793803583762641137446
         20074063 function calls (20074000 primitive calls) in 10.693 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 _compiler.py:241(_optimize_charset)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:74(__enter__)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:888(find_spec)
        1    0.000    0.000    0.000    0.000 __init__.py:280(_compile)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.print}
        4    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
       11    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1570(find_spec)
    88/85    0.000    0.000    0.000    0.000 {built-in method builtins.len}
        1    0.000    0.000    0.000    0.000 pathlib.py:718(Path)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:679(_classify_pyc)
        4    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:764(_compile_bytecode)
       11    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:604(_get_cached)
        1    0.000    0.000    0.000    0.000 _compiler.py:738(compile)
        1    0.000    0.000    0.000    0.000 _parser.py:960(parse)
      2/1    0.000    0.000    0.000    0.000 _compiler.py:434(_get_literal_prefix)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
       71    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
        1    0.000    0.000    0.000    0.000 _compiler.py:509(_compile_info)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:332(__exit__)
      4/2    0.000    0.000    0.000    0.000 _parser.py:172(getwidth)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:511(__init__)
        8    0.000    0.000    0.000    0.000 {built-in method builtins.max}
        3    0.000    0.000    0.000    0.000 functools.py:518(decorating_function)
       22    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1482(_path_hooks)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
        1    0.000    0.000    0.000    0.000 parse.py:143(_NetlocResultMixinBase)
        4    0.000    0.000    0.000    0.000 functools.py:479(lru_cache)
       62    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
       11    0.000    0.000    0.000    0.000 _parser.py:162(__getitem__)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:544(cached)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
        1    0.000    0.000    0.000    0.000 <frozen abc>:105(__new__)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:712(_validate_timestamp_pyc)
       12    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
        2    0.000    0.000    0.000    0.000 enum.py:1506(__and__)
        1    0.000    0.000    0.000    0.000 fnmatch.py:1(<module>)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:85(__exit__)
       12    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
        9    0.000    0.000    0.000    0.000 _parser.py:231(__next)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1633(__init__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1024(_resolve_filename)
        1    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
       24    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:636(_check_name_wrapper)
        2    0.000    0.000    0.000    0.000 enum.py:699(__call__)
        1    0.000    0.000    0.000    0.000 _parser.py:94(closegroup)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
       36    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
       21    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1727(_fill_cache)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
       16    0.000    0.000    0.000    0.000 {built-in method sys.intern}
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:324(__init__)
        1    0.000    0.000    0.000    0.000 <frozen zipimport>:64(__init__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1768(path_hook_for_FileFinder)
