Solution to puzzle: 1116
         8883549 function calls (8881808 primitive calls) in 11.700 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      132    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:484(_get_cached)
      618    0.000    0.000    0.000    0.000 _inspect.py:26(isfunction)
      342    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.add_docstring}
      614    0.000    0.000    0.000    0.000 _inspect.py:41(iscode)
        1    0.000    0.000    0.005    0.005 fromnumeric.py:1(<module>)
      993    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
     1067    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      152    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:176(cb)
      496    0.000    0.000    0.000    0.000 sre_parse.py:164(__getitem__)
    89/34    0.000    0.000    0.000    0.000 sre_parse.py:174(getwidth)
      246    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:376(cached)
      132    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1493(_get_spec)
     1067    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      152    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
        1    0.000    0.000    0.007    0.007 core.py:1(<module>)
      428    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:867(__exit__)
      185    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:145(_path_is_mode_type)
        1    0.000    0.000    0.005    0.005 _add_newdocs.py:1(<module>)
      351    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
      114    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:586(_validate_timestamp_pyc)
        1    0.000    0.000    0.002    0.002 defchararray.py:1(<module>)
      456    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:129(<genexpr>)
       52    0.000    0.000    0.000    0.000 core.py:894(__init__)
      890    0.000    0.000    0.000    0.000 {built-in method builtins.min}
      153    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:147(__enter__)
        6    0.000    0.000    0.001    0.000 getlimits.py:34(__init__)
      314    0.000    0.000    0.000    0.000 overrides.py:128(array_function_dispatch)
      428    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:863(__enter__)
        1    0.000    0.000    0.027    0.027 multiarray.py:1(<module>)
      114    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:516(_check_name_wrapper)
        6    0.000    0.000    0.000    0.000 numeric.py:2536(extend_all)
       16    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
      139    0.000    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:1399(find_spec)
       24    0.000    0.000    0.001    0.000 _add_newdocs_scalars.py:71(add_newdoc_for_scalar_type)
        2    0.000    0.000    0.002    0.001 function_base.py:1(<module>)
    232/1    0.000    0.000    0.124    0.124 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
      118    0.000    0.000    0.000    0.000 {built-in method numpy.array}
        1    0.000    0.000    0.003    0.003 numerictypes.py:1(<module>)
       46    0.000    0.000    0.000    0.000 _inspect.py:140(formatargspec)
        1    0.000    0.000   11.700   11.700 part2.py:2(<module>)
      114    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
      171    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:154(_path_isfile)
      346    0.000    0.000    0.000    0.000 sre_parse.py:254(get)
       40    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
        1    0.000    0.000    0.001    0.001 getlimits.py:158(_register_known_types)
      150    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:342(__init__)
      114    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
      114    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1075(path_stats)
       21    0.000    0.000    0.005    0.000 sre_compile.py:759(compile)
    37/21    0.000    0.000    0.003    0.000 sre_parse.py:435(_parse_sub)
      329    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.000    0.000 ufunclike.py:1(<module>)
       36    0.000    0.000    0.001    0.000 getlimits.py:111(_float_to_str)
      153    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:151(__exit__)
        1    0.000    0.000    0.013    0.013 linalg.py:1(<module>)
       63    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
