Sys.argv: ['dijkstra.py', '--debug', 'False']
Getting all possible blizzards...
         2239576 function calls (1912412 primitive calls) in 1.008 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1203    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
    137/3    0.000    0.000    0.154    0.051 <frozen importlib._bootstrap_external>:849(exec_module)
      715    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:135(_path_stat)
       18    0.000    0.000    0.000    0.000 arrayprint.py:1588(_guarded_repr_or_str)
      317    0.000    0.000    0.001    0.000 function_base.py:465(_needs_add_docstring)
      137    0.000    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:645(_compile_bytecode)
     5780    0.000    0.000    0.000    0.000 dijkstra.py:82(debug)
      352    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
      152    0.000    0.000    0.012    0.000 re.py:289(_compile)
      184    0.000    0.000    0.001    0.000 __init__.py:89(find_spec)
  191/131    0.000    0.000    0.013    0.000 typing.py:262(inner)
  173/169    0.000    0.000    0.022    0.000 <frozen importlib._bootstrap>:558(module_from_spec)
      411    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:79(_unpack_uint32)
    91/30    0.000    0.000    0.006    0.000 sre_parse.py:435(_parse_sub)
      457    0.000    0.000    0.001    0.000 enum.py:44(_is_private)
      137    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:560(_classify_pyc)
      299    0.000    0.000    0.001    0.000 {built-in method builtins.max}
     1035    0.000    0.000    0.001    0.000 sre_parse.py:254(get)
      430    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:398(parent)
      317    0.000    0.000    0.001    0.000 function_base.py:483(_add_docstring)
      704    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:878(__exit__)
     1446    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
        1    0.000    0.000    0.009    0.009 numeric.py:1(<module>)
      388    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1337(_path_importer_cache)
    138/1    0.000    0.000    1.008    1.008 {built-in method builtins.exec}
    45/12    0.000    0.000    0.002    0.000 typing.py:742(__getitem__)
      605    0.000    0.000    0.001    0.000 _inspect.py:13(ismethod)
     1446    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      955    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
       39    0.000    0.000    0.000    0.000 typing.py:240(_flatten_literal_params)
     1113    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
      704    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:874(__enter__)
      187    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:185(cb)
      329    0.000    0.000    0.000    0.000 functools.py:65(wraps)
      556    0.000    0.000    0.001    0.000 <string>:1(<lambda>)
      341    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
      157    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1500(_get_spec)
      969    0.000    0.000    0.000    0.000 typing.py:726(<genexpr>)
     1193    0.000    0.000    0.000    0.000 {built-in method builtins.min}
      157    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:491(_get_cached)
      294    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:385(cached)
       15    0.000    0.000    0.000    0.000 enum.py:221(<setcomp>)
      187    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
      224    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:145(_path_is_mode_type)
       54    0.000    0.000    0.005    0.000 typing.py:424(Union)
       54    0.000    0.000    0.001    0.000 typing.py:223(_remove_dups_flatten)
       32    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
      548    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:129(<genexpr>)
      586    0.000    0.000    0.000    0.000 _inspect.py:41(iscode)
      156    0.000    0.000    0.003    0.000 typing.py:660(__init__)
    273/5    0.000    0.000    0.154    0.031 <frozen importlib._bootstrap>:220(_call_with_frames_removed)
      605    0.000    0.000    0.000    0.000 _inspect.py:26(isfunction)
     1129    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
       93    0.000    0.000    0.001    0.000 typing.py:209(_deduplicate)
      457    0.000    0.000    0.000    0.000 enum.py:22(_is_dunder)
      187    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:156(__enter__)
      342    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.add_docstring}
      137    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:593(_validate_timestamp_pyc)
      699    0.000    0.000    0.000    0.000 types.py:171(__get__)
      482    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.002    0.002 core.py:1(<module>)
        1    0.000    0.000    0.005    0.005 _add_newdocs.py:1(<module>)
      457    0.000    0.000    0.000    0.000 enum.py:33(_is_sunder)
        1    0.000    0.000    0.004    0.004 fromnumeric.py:1(<module>)
       27    0.000    0.000    0.001    0.000 typing.py:968(__class_getitem__)
      168    0.000    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:1406(find_spec)
        1    0.000    0.000    0.002    0.002 defchararray.py:1(<module>)
      137    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:523(_check_name_wrapper)
        6    0.000    0.000    0.001    0.000 getlimits.py:34(__init__)
       12    0.000    0.000    0.000    0.000 datetime.py:492(__new__)
       30    0.000    0.000    0.011    0.000 sre_compile.py:759(compile)
      564    0.000    0.000    0.000    0.000 sre_parse.py:249(match)
       52    0.000    0.000    0.000    0.000 core.py:894(__init__)
      402    0.000    0.000    0.000    0.000 enum.py:12(_is_descriptor)
        1    0.000    0.000    0.017    0.017 numerictypes.py:1(<module>)
      118    0.000    0.000    0.000    0.000 {built-in method numpy.array}
        6    0.000    0.000    0.000    0.000 numeric.py:2507(extend_all)
      184    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:351(__init__)
      401    0.000    0.000    0.000    0.000 sre_parse.py:172(append)
       24    0.000    0.000    0.001    0.000 _add_newdocs_scalars.py:71(add_newdoc_for_scalar_type)
      336    0.000    0.000    0.000    0.000 typing.py:121(_type_convert)
       50    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
      137    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
      208    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:154(_path_isfile)
      317    0.000    0.000    0.000    0.000 overrides.py:105(array_function_dispatch)
      470    0.000    0.000    0.000    0.000 sre_parse.py:160(__len__)
      322    0.000    0.000    0.000    0.000 sre_parse.py:286(tell)
      137    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
        1    0.000    0.000    0.014    0.014 multiarray.py:1(<module>)
      363    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
      137    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1082(path_stats)
      187    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:160(__exit__)
        2    0.000    0.000    0.001    0.001 function_base.py:1(<module>)
       88    0.000    0.000    0.000    0.000 sre_compile.py:249(_compile_charset)
        1    0.000    0.000    0.000    0.000 ExifTags.py:294(<dictcomp>)
       30    0.000    0.000    0.001    0.000 sre_compile.py:536(_compile_info)
      386    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        1    0.000    0.000    0.000    0.000 datetime.py:473(timedelta)
      280    0.000    0.000    0.001    0.000 typing.py:456(<genexpr>)
  529/435    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
        1    0.000    0.000    0.001    0.001 getlimits.py:162(_register_known_types)
       30    0.000    0.000    0.000    0.000 _inspect.py:140(formatargspec)
       24    0.000    0.000    0.001    0.000 dtypes.py:66(_add_dtype_helper)
        1    0.000    0.000    0.000    0.000 pathlib.py:1033(PurePosixPath)
       36    0.000    0.000    0.001    0.000 getlimits.py:111(_float_to_str)
        1    0.000    0.000    0.000    0.000 TiffTags.py:420(_populate)
      480    0.000    0.000    0.000    0.000 typing.py:501(<genexpr>)
        1    0.000    0.000    0.005    0.005 _dtype_like.py:1(<module>)
  277/219    0.000    0.000    0.000    0.000 typing.py:739(__hash__)
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:9(<module>)
        1    0.000    0.000    0.001    0.001 _add_newdocs_scalars.py:1(<module>)
      223    0.000    0.000    0.000    0.000 sre_parse.py:111(__init__)
      378    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      394    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        1    0.000    0.000    0.000    0.000 {function SeedSequence.generate_state at 0x7fcc4efffee0}
        1    0.000    0.000    0.001    0.001 datetime.py:1(<module>)
      187    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:152(__init__)
        1    0.000    0.000    0.015    0.015 _type_aliases.py:1(<module>)
       30    0.000    0.000    0.006    0.000 sre_parse.py:937(parse)
      109    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
      277    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
       16    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1556(_fill_cache)
       73    0.000    0.000    0.000    0.000 sre_parse.py:355(_escape)
       59    0.000    0.000    0.000    0.000 {built-in method fromkeys}
      173    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:175(_path_isabs)
      412    0.000    0.000    0.000    0.000 {built-in method from_bytes}
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1466(__init__)
        1    0.000    0.000    0.020    0.020 Image.py:27(<module>)
