Sys.argv: ['dijkstra.py']
Getting all possible blizzards...
Done!
Length of the heap thing : 1
n == 0
Solution to puzzle: 18
Time spent in selected location: 0.0001761913299560547
         1114743 function calls (1097859 primitive calls) in 0.991 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  364/363    0.002    0.000    0.027    0.000 <frozen importlib._bootstrap_external>:1374(_get_spec)
      333    0.002    0.000    0.002    0.000 font_manager.py:1141(score_stretch)
   361/14    0.002    0.000    0.716    0.051 <frozen importlib._bootstrap>:659(_load_unlocked)
     9130    0.002    0.000    0.002    0.000 {method 'pop' of 'list' objects}
      245    0.002    0.000    0.010    0.000 typing.py:722(__init__)
  598/123    0.002    0.000    0.629    0.005 <frozen importlib._bootstrap>:1033(_handle_fromlist)
       34    0.002    0.000    0.004    0.000 __init__.py:345(namedtuple)
     7051    0.002    0.000    0.002    0.000 enum.py:646(__new__)
     4969    0.002    0.000    0.004    0.000 sre_parse.py:254(get)
     5680    0.002    0.000    0.003    0.000 {built-in method builtins.setattr}
    321/1    0.002    0.000    0.992    0.992 {built-in method builtins.exec}
    31/26    0.002    0.000    0.005    0.000 {built-in method _imp.exec_dynamic}
  1408/12    0.002    0.000    0.003    0.000 copy.py:128(deepcopy)
       29    0.001    0.000    0.966    0.033 __init__.py:1(<module>)
     1008    0.001    0.000    0.002    0.000 __init__.py:1999(_setattr_cm)
   387/13    0.001    0.000    0.717    0.055 <frozen importlib._bootstrap>:967(_find_and_load_unlocked)
      248    0.001    0.000    0.003    0.000 typing.py:182(_collect_type_vars)
     2155    0.001    0.000    0.001    0.000 {method 'match' of 're.Pattern' objects}
     3784    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:231(_verbose_message)
       28    0.001    0.000    0.003    0.000 util.py:182(_collapse_string_to_ranges)
      342    0.001    0.000    0.001    0.000 {method '__exit__' of '_io._IOBase' objects}
      184    0.001    0.000    0.002    0.000 shape_base.py:612(column_stack)
      639    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:127(_path_split)
     5467    0.001    0.000    0.001    0.000 {method 'group' of 're.Match' objects}
    10044    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
      157    0.001    0.000    0.002    0.000 pathlib.py:64(parse_parts)
   452/20    0.001    0.000    0.676    0.034 {built-in method builtins.__import__}
      278    0.001    0.000    0.006    0.000 overrides.py:83(verify_matching_signatures)
        1    0.001    0.001    0.007    0.007 dijkstra.py:891(solve_part_one_dijkstra)
  444/204    0.001    0.000    0.025    0.000 sre_parse.py:435(_parse_sub)
        2    0.001    0.001    0.003    0.002 decoder.py:343(raw_decode)
      321    0.001    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:1041(get_data)
      378    0.001    0.000    0.001    0.000 transforms.py:194(set_children)
2237/2071    0.001    0.000    0.001    0.000 {method 'update' of 'dict' objects}
      333    0.001    0.000    0.002    0.000 font_manager.py:1083(score_family)
     1662    0.001    0.000    0.002    0.000 typing.py:648(_is_dunder)
     1966    0.001    0.000    0.005    0.000 re.py:188(match)
      317    0.001    0.000    0.005    0.000 function_base.py:497(add_newdoc)
      819    0.001    0.000    0.005    0.000 colors.py:265(to_rgba)
     8100    0.001    0.000    0.001    0.000 {method 'items' of 'dict' objects}
      760    0.001    0.000    0.001    0.000 enum.py:438(__setattr__)
      204    0.001    0.000    0.042    0.000 sre_compile.py:759(compile)
     4531    0.001    0.000    0.001    0.000 artist.py:1567(<genexpr>)
      724    0.001    0.000    0.002    0.000 inspect.py:494(unwrap)
       59    0.001    0.000    0.001    0.000 {built-in method io.open}
      344    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:696(spec_from_file_location)
       38    0.001    0.000    0.001    0.000 {built-in method posix.listdir}
       54    0.001    0.000    0.010    0.000 lines.py:274(__init__)
      443    0.001    0.000    0.002    0.000 {built-in method numpy.asarray}
 3344/795    0.001    0.000    0.001    0.000 __init__.py:362(recursive_subclasses)
     1077    0.001    0.000    0.001    0.000 sre_parse.py:111(__init__)
     2349    0.001    0.000    0.003    0.000 {built-in method _abc._abc_instancecheck}
      973    0.001    0.000    0.017    0.000 __init__.py:699(__setitem__)
     2483    0.001    0.000    0.001    0.000 sre_parse.py:172(append)
      547    0.001    0.000    0.002    0.000 copy.py:258(_reconstruct)
     5262    0.001    0.000    0.001    0.000 {function RcParams.__getitem__ at 0x7fc941961ca0}
     3090    0.001    0.000    0.001    0.000 inspect.py:2847(<genexpr>)
      444    0.001    0.000    0.001    0.000 __init__.py:1770(<dictcomp>)
       92    0.001    0.000    0.012    0.000 __init__.py:1372(_preprocess_data)
     8414    0.001    0.000    0.001    0.000 inspect.py:2565(name)
     1492    0.001    0.000    0.004    0.000 colors.py:213(_is_nth_color)
      605    0.001    0.000    0.004    0.000 _inspect.py:96(getargspec)
     6743    0.001    0.000    0.001    0.000 {method 'isidentifier' of 'str' objects}
      299    0.001    0.000    0.046    0.000 <frozen importlib._bootstrap_external>:645(_compile_bytecode)
      546    0.001    0.000    0.001    0.000 contextlib.py:86(__init__)
   310/13    0.001    0.000    0.715    0.055 <frozen importlib._bootstrap_external>:849(exec_module)
     2548    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
      170    0.001    0.000    0.002    0.000 colors.py:307(_to_rgba_no_colorcycle)
   273/11    0.001    0.000    0.004    0.000 core.py:776(_parseNoCache)
      473    0.001    0.000    0.002    0.000 font_manager.py:923(_json_decode)
     1562    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:135(_path_stat)
      204    0.001    0.000    0.004    0.000 sre_compile.py:536(_compile_info)
      864    0.001    0.000    0.002    0.000 {built-in method builtins.max}
     5744    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
     5312    0.001    0.000    0.001    0.000 {method 'find' of 'str' objects}
       90    0.001    0.000    0.001    0.000 {method 'reduce' of 'numpy.ufunc' objects}
       21    0.001    0.000    0.003    0.000 _backend_tk.py:759(_recolor_icon)
       12    0.001    0.000    0.001    0.000 dijkstra.py:251(update_blizzards)
     2714    0.001    0.000    0.001    0.000 util.py:185(is_consecutive)
       30    0.001    0.000    0.001    0.000 function_base.py:24(linspace)
       27    0.001    0.000    0.001    0.000 {method 'decode' of 'ImagingDecoder' objects}
       21    0.001    0.000    0.020    0.001 _backend_tk.py:733(_set_image_for_button)
      210    0.001    0.000    0.001    0.000 {built-in method posix.readlink}
      104    0.001    0.000    0.003    0.000 deprecation.py:128(deprecate)
      100    0.001    0.000    0.274    0.003 artist.py:159(_update_set_signature_and_docstring)
      132    0.001    0.000    0.031    0.000 _docstring.py:38(__call__)
      429    0.001    0.000    0.013    0.000 artist.py:1540(number_of_parameters)
      129    0.001    0.000    0.010    0.000 text.py:185(_reset_visual_defaults)
      764    0.001    0.000    0.001    0.000 {built-in method numpy.array}
      144    0.001    0.000    0.001    0.000 typing.py:941(__hash__)
  387/312    0.001    0.000    0.021    0.000 typing.py:262(inner)
  361/356    0.001    0.000    0.031    0.000 <frozen importlib._bootstrap>:558(module_from_spec)
     4989    0.001    0.000    0.001    0.000 artist.py:851(get_animated)
      225    0.001    0.000    0.001    0.000 core.py:455(__init__)
     7006    0.001    0.000    0.001    0.000 inspect.py:2577(kind)
      897    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:79(_unpack_uint32)
        1    0.001    0.001    0.001    0.001 figure.py:181(FigureBase)
       19    0.001    0.000    0.001    0.000 {built-in method _imp.create_builtin}
      299    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:560(_classify_pyc)
     2442    0.001    0.000    0.001    0.000 sre_parse.py:160(__len__)
      344    0.001    0.000    0.003    0.000 inspect.py:545(_finddoc)
      285    0.001    0.000    0.001    0.000 font_manager.py:809(set_size)
      213    0.001    0.000    0.070    0.000 artist.py:1426(__init__)
      204    0.001    0.000    0.026    0.000 sre_parse.py:937(parse)
     5028    0.001    0.000    0.001    0.000 {built-in method builtins.id}
     1868    0.001    0.000    0.001    0.000 typing.py:930(<genexpr>)
      377    0.001    0.000    0.001    0.000 __init__.py:65(check_isinstance)
      929    0.001    0.000    0.011    0.000 artist.py:1546(is_alias)
    45/12    0.001    0.000    0.004    0.000 typing.py:742(__getitem__)
     1501    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:878(__exit__)
      416    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:203(_lock_unlock_module)
     1522    0.001    0.000    0.001    0.000 sre_parse.py:286(tell)
      100    0.001    0.000    0.008    0.000 deprecation.py:416(make_keyword_only)
      812    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:398(parent)
     1921    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
      844    0.001    0.000    0.001    0.000 function_base.py:348(iterable)
      686    0.001    0.000    0.001    0.000 enum.py:44(_is_private)
     2190    0.001    0.000    0.001    0.000 sre_parse.py:249(match)
      344    0.001    0.000    0.001    0.000 inspect.py:535(_findclass)
     2349    0.001    0.000    0.004    0.000 abc.py:96(__instancecheck__)
       42    0.001    0.000    0.002    0.000 ticker.py:2010(_validate_steps)
     1588    0.001    0.000    0.004    0.000 {built-in method builtins.next}
       35    0.001    0.000    0.001    0.000 enum.py:221(<setcomp>)
        1    0.001    0.001    0.001    0.001 {method 'readlines' of '_io._IOBase' objects}
      409    0.001    0.000    0.004    0.000 core.py:499(copy)
      981    0.001    0.000    0.003    0.000 artist.py:417(pchanged)
      165    0.001    0.000    0.003    0.000 font_manager.py:590(__init__)
      546    0.001    0.000    0.002    0.000 contextlib.py:121(__exit__)
      661    0.001    0.000    0.026    0.000 inspect.py:3128(signature)
      713    0.001    0.000    0.001    0.000 functools.py:65(wraps)
      547    0.001    0.000    0.001    0.000 {method '__reduce_ex__' of 'object' objects}
      409    0.001    0.000    0.006    0.000 rcsetup.py:307(validate_color)
     2699    0.001    0.000    0.001    0.000 {built-in method _imp.release_lock}
       18    0.001    0.000    0.020    0.001 axis.py:58(__init__)
      285    0.001    0.000    0.001    0.000 {method 'copy' of 'numpy.ndarray' objects}
      651    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:385(cached)
     1501    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:874(__enter__)
      392    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:185(cb)
     1689    0.001    0.000    0.001    0.000 inspect.py:159(isfunction)
      344    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1500(_get_spec)
     2699    0.001    0.000    0.001    0.000 {built-in method _imp.acquire_lock}
      100    0.001    0.000    0.001    0.000 {built-in method _abc._abc_init}
      732    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1337(_path_importer_cache)
      133    0.001    0.000    0.003    0.000 pathlib.py:672(_parse_args)
      456    0.001    0.000    0.001    0.000 transforms.py:1772(__init__)
      397    0.001    0.000    0.001    0.000 {method 'sub' of 're.Pattern' objects}
      533    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:145(_path_is_mode_type)
       42    0.001    0.000    0.001    0.000 ticker.py:2025(_staircase)
      333    0.001    0.000    0.001    0.000 font_manager.py:1159(score_weight)
     1926    0.001    0.000    0.001    0.000 {method 'setdefault' of 'dict' objects}
      843    0.001    0.000    0.001    0.000 transforms.py:110(__init__)
       93    0.001    0.000    0.008    0.000 typing.py:424(Union)
      673    0.000    0.000    0.007    0.000 colors.py:218(is_color_like)
      114    0.000    0.000    0.001    0.000 __init__.py:1468(_options)
     2357    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
      341    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:491(_get_cached)
     1285    0.000    0.000    0.000    0.000 __init__.py:658(_set)
      392    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:58(__init__)
        1    0.000    0.000    0.001    0.001 helpers.py:692(<dictcomp>)
   256/18    0.000    0.000    0.002    0.000 ast.py:409(generic_visit)
     1278    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:129(<genexpr>)
      112    0.000    0.000    0.216    0.002 artist.py:1841(kwdoc)
      299    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
      310    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:523(_check_name_wrapper)
       39    0.000    0.000    0.003    0.000 typing.py:471(Literal)
      584    0.000    0.000    0.001    0.000 sre_compile.py:423(_simple)
      204    0.000    0.000    0.001    0.000 enum.py:953(__and__)
       18    0.000    0.000    0.000    0.000 arrayprint.py:1588(_guarded_repr_or_str)
       42    0.000    0.000    0.001    0.000 function_base.py:1324(diff)
       48    0.000    0.000    0.003    0.000 ImageFile.py:155(load)
      390    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:156(__enter__)
      102    0.000    0.000    0.001    0.000 transforms.py:754(__init__)
   553/15    0.000    0.000    0.716    0.048 <frozen importlib._bootstrap>:220(_call_with_frames_removed)
