Solution to puzzle: 1580758017509
         199160 function calls (196840 primitive calls) in 0.639 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      317    0.000    0.000    0.001    0.000 function_base.py:469(_add_docstring)
      288    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
      421    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:389(parent)
      618    0.000    0.000    0.000    0.000 _inspect.py:26(isfunction)
      326    0.000    0.000    0.000    0.000 functools.py:64(wraps)
      199    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:176(cb)
      168    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:484(_get_cached)
      455    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1330(_path_importer_cache)
     1283    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
     1095    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      341    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
      614    0.000    0.000    0.000    0.000 _inspect.py:41(iscode)
      168    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1493(_get_spec)
     1283    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      342    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.add_docstring}
      249    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:145(_path_is_mode_type)
      315    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:376(cached)
      785    0.000    0.000    0.001    0.000 sre_parse.py:254(get)
      199    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
      546    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:867(__exit__)
        2    0.000    0.000    0.003    0.001 function_base.py:1(<module>)
      353    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
      200    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:147(__enter__)
        6    0.000    0.000    0.001    0.000 getlimits.py:34(__init__)
     1089    0.000    0.000    0.000    0.000 {built-in method builtins.min}
      314    0.000    0.000    0.000    0.000 overrides.py:128(array_function_dispatch)
      588    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:129(<genexpr>)
      147    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:586(_validate_timestamp_pyc)
    62/27    0.000    0.000    0.004    0.000 sre_parse.py:435(_parse_sub)
      546    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:863(__enter__)
       13    0.000    0.000    0.000    0.000 enum.py:200(<setcomp>)
        1    0.000    0.000    0.002    0.002 defchararray.py:1(<module>)
      709    0.000    0.000    0.000    0.000 types.py:171(__get__)
      422    0.000    0.000    0.000    0.000 enum.py:22(_is_dunder)
    299/3    0.000    0.000    0.143    0.048 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
        1    0.000    0.000    0.004    0.004 linalg.py:1(<module>)
        1    0.000    0.000    0.007    0.007 core.py:1(<module>)
        1    0.000    0.000    0.005    0.005 fromnumeric.py:1(<module>)
        1    0.000    0.000    0.005    0.005 _add_newdocs.py:1(<module>)
      147    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:516(_check_name_wrapper)
      176    0.000    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:1399(find_spec)
       52    0.000    0.000    0.000    0.000 core.py:894(__init__)
       23    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
      422    0.000    0.000    0.000    0.000 enum.py:33(_is_sunder)
      194    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:342(__init__)
      123    0.000    0.000    0.000    0.000 {built-in method numpy.array}
      147    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
       27    0.000    0.000    0.009    0.000 sre_compile.py:759(compile)
      147    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1075(path_stats)
      228    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:154(_path_isfile)
       12    0.000    0.000    0.000    0.000 datetime.py:488(__new__)
      147    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
        1    0.000    0.000    0.026    0.026 multiarray.py:1(<module>)
        1    0.000    0.000    0.003    0.003 numerictypes.py:1(<module>)
        2    0.000    0.000    0.007    0.004 shape_base.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ExifTags.py:294(<dictcomp>)
       24    0.000    0.000    0.001    0.000 _add_newdocs_scalars.py:71(add_newdoc_for_scalar_type)
      368    0.000    0.000    0.000    0.000 enum.py:12(_is_descriptor)
        6    0.000    0.000    0.000    0.000 numeric.py:2536(extend_all)
      396    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
      200    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:151(__exit__)
       46    0.000    0.000    0.000    0.000 _inspect.py:140(formatargspec)
        1    0.000    0.000    0.001    0.001 ast.py:1(<module>)
      589    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
      165    0.000    0.000    0.000    0.000 sre_parse.py:111(__init__)
        1    0.000    0.000    0.001    0.001 getlimits.py:158(_register_known_types)
       27    0.000    0.000    0.001    0.000 sre_compile.py:536(_compile_info)
      426    0.000    0.000    0.000    0.000 sre_parse.py:249(match)
      297    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      403    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
       36    0.000    0.000    0.001    0.000 getlimits.py:111(_float_to_str)
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1459(__init__)
       70    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        1    0.000    0.000    0.001    0.001 tokenize.py:1(<module>)
      200    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
       21    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1549(_fill_cache)
      112    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      217    0.000    0.000    0.000    0.000 sre_parse.py:286(tell)
      189    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:175(_path_isabs)
      342    0.000    0.000    0.000    0.000 sre_parse.py:160(__len__)
        1    0.000    0.000    0.001    0.001 _add_newdocs_scalars.py:1(<module>)
        1    0.000    0.000    0.026    0.026 Image.py:27(<module>)
      442    0.000    0.000    0.000    0.000 {built-in method from_bytes}
        1    0.000    0.000    0.001    0.001 datetime.py:1(<module>)
       20    0.000    0.000    0.000    0.000 sre_compile.py:413(<listcomp>)
       27    0.000    0.000    0.005    0.000 sre_parse.py:937(parse)
        1    0.000    0.000    0.000    0.000 TiffTags.py:419(_populate)
        1    0.000    0.000    0.001    0.001 _type_aliases.py:1(<module>)
        2    0.000    0.000    0.002    0.001 polynomial.py:1(<module>)
       63    0.000    0.000    0.000    0.000 sre_compile.py:249(_compile_charset)
      109    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
        1    0.000    0.000    0.002    0.002 scimath.py:1(<module>)
      190    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:9(<module>)
      278    0.000    0.000    0.000    0.000 sre_parse.py:172(append)
      433    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
        1    0.000    0.000    0.001    0.001 arrayprint.py:1(<module>)
      176    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:800(find_spec)
      147    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1004(__init__)
        1    0.000    0.000    0.003    0.003 pickle.py:1(<module>)
        1    0.000    0.000    0.000    0.000 core.py:2697(MaskedArray)
      194    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:725(find_spec)
       21    0.000    0.000    0.000    0.000 <frozen zipimport>:63(__init__)
      209    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
      465    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
        1    0.000    0.000    0.000    0.000 {function SeedSequence.generate_state at 0x7f296e308280}
       21    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1317(_path_hooks)
       14    0.000    0.000    0.000    0.000 {method 'split' of 're.Pattern' objects}
      107    0.000    0.000    0.001    0.000 re.py:188(match)
        1    0.000    0.000    0.001    0.001 twodim_base.py:1(<module>)
      929    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
      399    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:68(_relax_case)
       45    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
      396    0.000    0.000    0.000    0.000 {built-in method builtins.globals}
        1    0.000    0.000    0.009    0.009 index_tricks.py:1(<module>)
        1    0.000    0.000    0.001    0.001 pickle.py:197(<listcomp>)
    22/12    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
       49    0.000    0.000    0.000    0.000 sre_parse.py:355(_escape)
        1    0.000    0.000    0.001    0.001 type_check.py:1(<module>)
       45    0.000    0.000    0.000    0.000 sre_parse.py:432(_uniq)
        1    0.000    0.000    0.000    0.000 TiffTags.py:20(<module>)
       50    0.000    0.000    0.000    0.000 _internal.py:869(_ufunc_doc_signature_formatter)
        1    0.000    0.000    0.001    0.001 parse.py:1(<module>)
       20    0.000    0.000    0.000    0.000 sre_compile.py:411(_mk_bitmap)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:373(<dictcomp>)
      176    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
       27    0.000    0.000    0.000    0.000 enum.py:938(__and__)
        1    0.000    0.000    0.000    0.000 defchararray.py:1908(chararray)
        1    0.000    0.000    0.001    0.001 nanfunctions.py:1(<module>)
        1    0.000    0.000    0.003    0.003 _methods.py:1(<module>)
      336    0.000    0.000    0.000    0.000 enum.py:393(<genexpr>)
      146    0.000    0.000    0.000    0.000 TiffTags.py:26(__new__)
      218    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        1    0.000    0.000    0.007    0.007 pathlib.py:1(<module>)
       21    0.000    0.000    0.015    0.001 <frozen importlib._bootstrap_external>:1164(create_module)
        3    0.000    0.000    0.000    0.000 tokenize.py:83(_all_string_prefixes)
       16    0.000    0.000    0.000    0.000 _type_aliases.py:58(bitname)
        1    0.000    0.000    0.000    0.000 umath.py:1(<module>)
       74    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
       72    0.000    0.000    0.000    0.000 {method 'copy' of 'numpy.ndarray' objects}
       71    0.000    0.000    0.000    0.000 sre_compile.py:423(_simple)
       64    0.000    0.000    0.000    0.000 enum.py:313(__call__)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:94(_add_aliases)
       14    0.000    0.000    0.000    0.000 __init__.py:141(_check_size)
        1    0.000    0.000    0.000    0.000 polyutils.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _string_helpers.py:9(<listcomp>)
        1    0.000    0.000    0.000    0.000 tempfile.py:761(SpooledTemporaryFile)
        1    0.000    0.000    0.001    0.001 ExifTags.py:20(Base)
        1    0.000    0.000    0.004    0.004 inspect.py:1(<module>)
       27    0.000    0.000    0.000    0.000 sre_parse.py:224(__init__)
       26    0.000    0.000    0.000    0.000 core.py:6837(getdoc)
        2    0.000    0.000    0.000    0.000 {built-in method _ctypes.POINTER}
       78    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
        1    0.000    0.000    0.001    0.001 npyio.py:1(<module>)
       13    0.000    0.000    0.000    0.000 enum.py:579(_find_new_)
      423    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
       26    0.000    0.000    0.000    0.000 enum.py:532(_get_mixins_)
        1    0.000    0.000    0.004    0.004 __init__.py:17(<module>)
        1    0.000    0.000    0.000    0.000 getlimits.py:1(<module>)
       14    0.000    0.000    0.001    0.000 core.py:115(doc_note)
    28/23    0.000    0.000    0.000    0.000 sre_compile.py:461(_get_literal_prefix)
